Id,Lot Frontage,Lot Area,Land Contour,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Heating QC,Central Air,Electrical,Bedroom AbvGr,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Qual,Paved Drive,Wood Deck SF,Open Porch SF,Screen Porch,Fence,Sale Type,SalePrice,Log Price,Inside SF,Bathroom,Total room,Neighborhood Group,Finish,Stories,PUD,Zone Group
109,55.228571428571435,13517,3,1Fam,6,8,1976,2005.0,HdBoard,Plywood,289.0,4,3,CBlock,3,3,1,6,533.0,1,192.0,5,1,SBrkr,3,4,0,0,Attchd,2,2.0,3,2,0,44,0,NA,WD ,130500,11.779128505744886,2204.0,2.5,8.5,C,1,2Story,0,RL
544,43.0,11492,3,1Fam,7,5,1996,1997.0,VinylSd,VinylSd,132.0,4,3,PConc,4,3,1,6,637.0,1,276.0,5,1,SBrkr,4,4,0,3,Attchd,2,2.0,3,2,0,74,0,NA,WD ,220000,12.301382825334498,3035.0,3.5,11.5,B,1,2Story,0,RL
153,68.0,7922,3,1Fam,5,7,1953,2007.0,VinylSd,VinylSd,0.0,3,4,CBlock,3,3,1,6,731.0,1,326.0,3,1,SBrkr,3,4,0,0,Detchd,1,1.0,3,2,0,52,0,NA,WD ,109000,11.59910316121128,2114.0,2.0,7.0,C,1,1Story,0,RL
318,73.0,9802,3,1Fam,5,5,2006,2007.0,VinylSd,VinylSd,0.0,3,3,PConc,4,3,1,1,0.0,1,384.0,4,1,SBrkr,3,3,0,0,BuiltIn,3,2.0,3,2,100,0,0,NA,WD ,174000,12.066810578196666,1828.0,2.5,9.5,B,1,2Story,0,RL
255,82.0,14235,3,1Fam,6,8,1900,1993.0,Wd Sdng,Plywood,0.0,3,3,PConc,2,4,1,1,0.0,1,676.0,3,1,SBrkr,3,3,0,0,Detchd,1,2.0,3,0,0,59,0,NA,WD ,138500,11.83862560460953,2121.0,2.0,8.0,B,1,1.5Story,0,RL
138,137.0,16492,3,1Fam,6,6,1966,2002.0,BrkFace,Plywood,0.0,4,3,CBlock,3,3,1,5,247.0,3,557.0,5,1,SBrkr,2,4,3,4,Attchd,3,2.0,3,2,0,0,0,NA,WD ,190000,12.154779351142624,3405.0,2.5,8.5,C,1,1Story,0,RL
2827,35.0,3675,3,TwnhsE,6,5,2005,2006.0,VinylSd,VinylSd,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,4,1,SBrkr,2,3,0,0,Basment,3,2.0,3,2,0,44,0,NA,New,140000,11.84939770159144,1619.0,3.0,8.0,C,0,Split,1,RH
145,66.95277989337396,12160,3,1Fam,5,5,1959,1959.0,Plywood,Plywood,180.0,3,3,CBlock,3,3,1,3,1000.0,1,188.0,2,1,SBrkr,3,3,0,0,Attchd,2,2.0,3,2,0,0,0,MnPrv,COD,142000,11.863582336583399,2376.0,2.0,8.0,C,1,1Story,0,RL
1942,66.95277989337396,15783,3,1Fam,5,5,1952,1952.0,Wd Sdng,Wd Sdng,0.0,3,3,CBlock,3,3,1,3,292.0,1,632.0,3,1,SBrkr,2,3,0,0,Detchd,1,1.0,3,2,0,324,0,MnPrv,WD ,112500,11.630708500626612,1848.0,1.0,7.0,C,1,1Story,0,RL
1956,70.0,11606,1,1Fam,5,5,1969,1969.0,Plywood,Plywood,192.0,3,3,PConc,4,3,3,3,650.0,1,390.0,3,1,SBrkr,5,2,0,3,Attchd,1,2.0,3,2,335,0,0,NA,WD ,135000,11.813030057420567,3120.0,2.5,11.5,C,1,2Story,0,RL
